Base,Day,FOV,mask_label,redox_ratio_norm_mean,redox_ratio_norm_stdev,nadh_intensity_mean,nadh_intensity_stdev,nadh_a1_mean,nadh_a1_stdev,nadh_a1_intensity_weighted_mean,nadh_a1_intensity_weighted_stdev,nadh_a2_mean,nadh_a2_stdev,nadh_a2_intensity_weighted_mean,nadh_a2_intensity_weighted_stdev,nadh_t1_mean,nadh_t1_stdev,nadh_t1_intensity_weighted_mean,nadh_t1_intensity_weighted_stdev,nadh_t2_mean,nadh_t2_stdev,nadh_t2_intensity_weighted_mean,nadh_t2_intensity_weighted_stdev,nadh_tau_mean_mean,nadh_tau_mean_stdev,nadh_tau_mean_intensity_weighted_mean,nadh_tau_mean_intensity_weighted_stdev,fad_intensity_mean,fad_intensity_stdev,fad_a1_mean,fad_a1_stdev,fad_a1_intensity_weighted_mean,fad_a1_intensity_weighted_stdev,fad_a2_mean,fad_a2_stdev,fad_a2_intensity_weighted_mean,fad_a2_intensity_weighted_stdev,fad_t1_mean,fad_t1_stdev,fad_t1_intensity_weighted_mean,fad_t1_intensity_weighted_stdev,fad_t2_mean,fad_t2_stdev,fad_t2_intensity_weighted_mean,fad_t2_intensity_weighted_stdev,fad_tau_mean_mean,fad_tau_mean_stdev,fad_tau_mean_intensity_weighted_mean,fad_tau_mean_intensity_weighted_stdev,redox_ratio_mean,redox_ratio_stdev,,,flirr_mean,flirr_stdev
UCSD102,40,10,1,0.637616613,0.119650845,1000.718252,647.3807522,79.06032581,3.830954896,79.28607067,3.939579711,20.93967423,3.830954774,20.71392933,3.93957969,326.6059316,72.42210782,359.1309945,61.67055537,2064.9451,226.4155918,2142.048247,207.7217224,690.309688,121.9272011,727.3494403,100.476634,456.3794344,139.5802816,78.24412206,2.515512865,77.99152703,2.470040007,21.75587794,2.515512865,22.00847297,2.470040007,202.3572756,34.89114542,203.7842304,33.74624715,1765.495913,161.4282644,1788.06356,158.9785989,542.4559333,71.17625812,552.6214091,70.17530431,2.076283289,1.016231852,,,0.268245154,0.051765874
UCSD102,40,10,2,0.602197615,0.075788776,633.3787639,305.5057029,76.85311331,2.802486179,76.37042518,2.643822726,23.14688669,2.802486179,23.62957482,2.643822726,279.7657702,61.90678709,298.0785151,63.9103848,2027.18935,211.9519642,2079.716037,211.9094493,682.8714177,102.1480993,717.8591275,102.6329048,382.5530903,87.81658572,77.60201997,2.254656272,77.47687896,2.211068353,22.39798003,2.254656272,22.52312104,2.211068353,221.5588494,38.06131888,221.5581007,37.13844903,1780.730729,150.4066531,1794.288094,150.6905534,569.821315,57.26711982,574.9428322,57.44910037,1.616908061,0.557674369,,,0.298773238,0.039073658
UCSD102,40,10,3,0.649857135,0.093351725,817.1477663,449.9786885,76.82802285,3.385651326,76.75760312,3.028166178,23.17197715,3.385651326,23.24239688,3.028166178,316.8900808,68.99459795,341.2604465,61.70159126,2031.350687,191.2537519,2086.669685,182.8846043,712.467074,98.07920722,745.2102936,83.50135345,381.9072165,114.8537318,77.8934323,2.067512762,77.75255055,2.050887274,22.1065677,2.067512762,22.24744945,2.050887274,220.1029914,42.48310138,219.5136112,41.81690727,1780.880636,182.771795,1793.863116,183.9418737,563.9651936,65.65910432,568.7068208,66.05761015,2.092462499,0.922776334,,,0.297734673,0.044327143
UCSD102,40,10,5,0.604902676,0.098154726,654.3435583,369.8206933,77.92026442,2.649828245,77.35243454,2.362624372,22.07973558,2.649828245,22.64756546,2.362624372,286.0226166,56.45801617,304.4712837,53.00924577,1986.613267,174.9223231,2026.520599,169.8233921,660.25442,91.17202631,693.214141,82.90222492,371.4079755,91.60261501,79.48132055,2.269363246,79.41169112,2.252230924,20.51867945,2.269363246,20.58830888,2.252230924,218.0910537,42.79048635,218.0822801,42.12262764,1700.483436,164.0573774,1705.744873,162.5518294,520.3383827,56.19049814,522.5148407,55.46797456,1.717148121,0.781648908,,,0.278069654,0.034460152
UCSD102,40,10,6,0.660155844,0.103608998,850.3839891,438.7777342,77.84971398,2.365965462,77.59919925,2.113807364,22.15028602,2.365965462,22.40080075,2.113807364,309.2756689,55.01982676,327.4998243,53.39095416,2051.172863,172.0472954,2099.969632,168.3243318,694.3185523,81.67295064,723.467289,72.10732333,373.375848,77.61162478,78.55434166,2.505762237,78.52751285,2.468991748,21.44565834,2.505762237,21.47248715,2.468991748,207.0636282,39.6954053,207.9546924,39.67760777,1662.281004,172.8962593,1675.033799,175.7009814,517.2099047,58.67555823,521.0881436,59.20816676,2.219839162,0.949017387,,,0.282414591,0.032716474
UCSD102,40,10,7,0.660338192,0.103573808,814.0581114,440.8653542,78.27793505,3.095835035,78.22113465,2.894654826,21.72206493,3.095835188,21.77886534,2.894654876,313.417117,57.93829506,330.9800073,52.74281797,2029.804528,184.6400772,2071.506022,169.6502984,685.0941537,89.72341459,708.6433284,74.63708425,354.9152542,80.59448509,79.1161977,2.6828478,79.16498823,2.984303928,20.88380228,2.682847982,20.83501167,2.984304642,214.8087788,41.56554762,213.1442678,42.79118112,1649.542754,143.752197,1654.15422,143.9695899,512.835102,60.55206722,511.9194425,68.24346625,2.22517593,0.972472342,,,0.275087045,0.040659152
UCSD102,40,10,9,0.621954013,0.117898757,726.4025618,402.6968248,77.99147896,3.209927772,77.41338916,2.654407295,22.00852106,3.209927676,22.58661086,2.654407177,308.5711227,55.55022075,324.7007496,49.81712233,2016.279616,167.3074417,2053.07104,155.0472544,683.3692652,93.85676525,713.6846953,74.11220208,370.0503202,77.17651393,79.88726761,2.656203771,79.86437665,2.730274821,20.11273234,2.656204051,20.13562338,2.730274636,205.8464857,38.88087256,205.6989356,39.39464245,1660.189597,148.4424569,1668.390604,149.0114092,497.0620474,64.04753915,499.0049037,66.64054316,1.914481912,0.913633063,,,0.276259583,0.043104385
UCSD102,40,10,10,0.696332508,0.098800587,1135.424634,604.6057076,78.32724341,2.745998319,78.81053774,2.591627439,21.67275659,2.745998319,21.18946226,2.591627439,346.6351335,56.6890162,367.8673125,49.2011967,2099.539681,176.2996812,2151.496967,158.2571136,724.7288277,72.38320556,743.8333811,53.57409002,418.6485788,111.8952484,78.54815805,2.236449937,78.44947781,2.198082745,21.45184195,2.236449937,21.55052219,2.198082745,209.3575659,36.06845471,210.1571654,35.41893854,1744.918002,164.9465351,1758.483681,161.3241912,537.753255,60.92733296,542.8718075,59.72564591,2.619346099,1.068427271,,,0.276343213,0.03750731
UCSD102,40,10,12,0.685912131,0.109222395,1011.069628,528.6774343,79.60598319,2.465140041,79.9891421,2.329239816,20.39401681,2.465140041,20.0108579,2.329239816,343.2589472,49.28023408,357.8909158,42.43026751,2080.79533,177.050999,2123.965282,163.0695411,695.5571308,55.26701212,709.3234981,45.75301985,382.7070828,66.15203603,79.32053938,2.217077982,79.19377868,2.200437152,20.67946062,2.217077982,20.80622132,2.200437152,202.8902682,37.83592567,203.2453079,37.61332171,1672.101068,138.662884,1680.7432,137.7818142,505.9514685,58.97561423,509.9433309,58.73705746,2.555887164,1.127926535,,,0.257410349,0.032761384
UCSD102,40,10,13,0.634879641,0.13833032,912.9195402,639.3330025,80.30210197,2.490986169,80.27572663,2.247055282,19.69789803,2.490986169,19.72427337,2.247055282,310.249555,66.60378685,343.1566963,52.15851886,1978.931626,184.5205263,2055.676689,159.2724675,637.5423757,90.41536549,679.3581253,63.57444377,390.6256158,110.1445582,79.66525698,2.17072443,79.51827626,2.154227709,20.33474302,2.17072443,20.48172374,2.154227709,201.3673333,36.16147019,202.3184557,35.9925935,1679.095993,156.1901323,1694.661628,155.3615227,500.9106922,59.11369145,507.0657946,58.93811989,2.19033921,1.252450088,,,0.247552693,0.032995663
