X,Dayday,Class
A1,30,H9
A2,30,H9
A3,30,H9
A4,30,H9
A5,30,H9
A6,30,H9
A7,30,H9
A8,30,H9
A9,30,H9
A10,30,H9
A11,30,H9
A12,30,H9
A13,30,H9
A14,30,H9
A15,30,H9
A16,30,H9
A17,30,H9
A18,30,H9
A19,30,H9
A20,30,H9
A21,30,H9
A22,30,H9
A23,30,H9
A24,30,H9
A25,30,H9
A26,30,H9
A27,30,H9
A28,30,H9
A29,30,H9
A30,30,H9
A31,30,H9
A32,30,H9
A33,30,H9
A34,30,H9
A35,30,H9
A36,30,H9
A37,30,H9
A38,30,H9
A39,30,H9
A40,30,H9
A41,30,H9
A42,30,H9
A43,30,H9
A44,30,H9
A45,30,H9
A46,30,H9
A47,30,H9
A48,30,H9
A49,30,H9
A50,30,H9
A51,30,H9
A52,30,H9
A53,30,H9
A54,30,H9
A55,30,H9
A56,30,H9
A57,30,H9
A58,30,H9
A59,30,H9
A60,30,H9
A61,30,H9
A62,30,H9
A63,30,H9
A64,30,H9
A65,30,H9
A66,30,H9
A67,30,H9
A68,30,H9
A69,30,H9
A70,30,H9
A71,30,H9
A72,30,H9
A73,30,H9
A74,30,H9
A75,30,H9
A76,30,H9
A77,30,H9
A78,30,H9
A79,30,H9
A80,30,H9
A81,30,H9
A82,30,H9
A83,30,H9
A84,30,H9
A85,30,H9
A86,30,H9
A87,30,H9
A88,30,H9
A89,30,H9
A90,30,H9
A91,30,H9
A92,30,H9
A93,30,H9
A94,30,H9
A95,30,H9
A96,30,H9
A97,30,H9
A98,30,H9
A99,30,H9
A100,30,H9
A101,30,H9
A102,30,H9
A103,30,H9
A104,30,H9
A105,30,H9
A106,30,H9
A107,30,H9
A108,30,H9
A109,30,H9
A110,30,H9
A111,30,H9
A112,30,H9
A113,30,H9
A114,30,H9
A115,30,H9
A116,30,H9
A117,30,H9
A118,30,H9
A119,30,H9
A120,30,H9
A121,30,H9
A122,30,H9
A123,30,H9
A124,30,H9
A125,30,H9
A126,30,H9
A127,30,H9
A128,30,H9
A129,30,H9
A130,30,H9
A131,30,H9
A132,30,H9
A133,30,H9
A134,30,H9
A135,30,H9
A136,30,H9
A137,30,H9
A138,30,H9
A139,30,H9
A140,30,H9
A141,30,H9
A142,30,H9
A143,30,H9
A144,30,H9
A145,30,H9
A146,30,H9
A147,30,H9
A148,30,H9
A149,30,H9
A150,30,H9
A151,30,H9
A152,30,H9
A153,30,H9
A154,30,H9
A155,30,H9
A156,30,H9
A157,30,H9
A158,30,H9
A159,30,H9
A160,30,H9
A161,30,H9
A162,30,H9
A163,30,H9
A164,30,H9
A165,30,H9
A166,30,H9
A167,30,H9
A168,30,H9
A169,30,H9
A170,30,H9
A171,30,H9
A172,30,H9
A173,30,H9
A174,30,H9
A175,30,H9
A176,30,H9
A177,30,H9
A178,30,H9
A179,30,H9
A180,30,H9
A181,30,H9
A182,30,H9
A183,30,H9
A184,30,H9
A185,30,H9
A186,30,H9
A187,30,H9
A188,30,H9
A189,30,H9
A190,30,H9
A191,30,H9
A192,30,H9
A193,30,H9
A194,30,H9
A195,30,H9
A196,30,H9
A197,30,H9
A198,30,H9
A199,30,H9
A200,30,H9
A201,30,H9
A202,30,H9
A203,30,H9
A204,30,H9
A205,30,H9
A206,30,H9
A207,30,H9
A208,30,H9
A209,30,H9
A210,30,H9
A211,30,H9
A212,30,H9
A213,30,H9
A214,30,H9
A215,30,H9
A216,30,H9
A217,30,H9
A218,30,H9
A219,30,H9
A220,30,H9
A221,30,H9
A222,30,H9
A223,30,H9
A224,30,H9
A225,30,H9
A226,30,H9
A227,30,H9
A228,30,H9
A229,30,H9
A230,30,H9
A231,30,H9
A232,30,H9
A233,30,H9
A234,30,H9
A235,30,H9
A236,30,H9
A237,30,H9
A238,30,H9
A239,30,H9
A240,30,H9
A241,30,H9
A242,30,H9
A243,30,H9
A244,30,H9
A245,30,H9
A246,30,H9
A247,30,H9
A248,30,H9
A249,30,H9
A250,30,H9
A251,30,H9
A252,30,H9
A253,30,H9
A254,30,H9
A255,30,H9
A256,30,H9
A257,30,H9
A258,30,H9
A259,30,H9
A260,30,H9
A261,30,H9
A262,30,H9
A263,30,H9
A264,30,H9
A265,30,H9
A266,30,H9
A267,30,H9
A268,30,H9
A269,30,H9
A270,30,H9
A271,30,H9
A272,30,H9
A273,30,H9
A274,30,H9
A275,30,H9
A276,30,H9
A277,30,H9
A278,30,H9
A279,30,H9
A280,30,H9
A281,30,H9
A282,30,H9
A283,30,H9
A284,30,H9
A285,30,H9
A286,30,H9
A287,30,H9
A288,30,H9
A289,30,H9
A290,30,H9
A291,30,H9
A292,30,H9
A293,30,H9
A294,30,H9
A295,30,H9
A296,30,H9
A297,30,H9
A298,30,H9
A299,30,H9
A300,30,H9
A301,30,H9
A302,30,H9
A303,30,H9
A304,30,H9
A305,30,H9
A306,30,H9
A307,30,H9
A308,30,H9
A309,30,H9
A310,30,H9
A311,30,H9
A312,30,H9
A313,30,H9
A314,30,H9
A315,30,H9
A316,30,H9
A317,30,H9
A318,30,H9
A319,30,H9
A320,30,H9
A321,30,H9
A322,30,H9
A323,30,H9
A324,30,H9
A325,30,H9
A326,30,H9
A327,30,H9
A328,30,H9
A329,30,H9
A330,30,H9
A331,30,H9
A332,30,H9
A333,30,H9
A334,30,H9
A335,30,H9
A336,30,H9
A337,30,H9
A338,30,H9
A339,30,H9
A340,30,H9
A341,30,H9
A342,30,H9
A343,30,H9
A344,30,H9
A345,30,H9
A346,30,H9
A347,30,H9
A348,30,H9
A349,30,H9
A350,30,H9
A351,30,H9
A352,30,H9
A353,30,H9
A354,30,H9
A355,30,H9
A356,30,H9
A357,30,H9
A358,30,H9
A359,30,H9
A360,30,H9
A361,30,H9
A362,30,H9
A363,30,H9
A364,40,H9
A365,40,H9
A366,40,H9
A367,40,H9
A368,40,H9
A369,40,H9
A370,40,H9
A371,40,H9
A372,40,H9
A373,40,H9
A374,40,H9
A375,40,H9
A376,40,H9
A377,40,H9
A378,40,H9
A379,40,H9
A380,40,H9
A381,40,H9
A382,40,H9
A383,40,H9
A384,40,H9
A385,40,H9
A386,40,H9
A387,40,H9
A388,40,H9
A389,40,H9
A390,40,H9
A391,40,H9
A392,40,H9
A393,40,H9
A394,40,H9
A395,40,H9
A396,40,H9
A397,40,H9
A398,40,H9
A399,40,H9
A400,40,H9
A401,40,H9
A402,40,H9
A403,40,H9
A404,40,H9
A405,40,H9
A406,40,H9
A407,40,H9
A408,40,H9
A409,40,H9
A410,40,H9
A411,40,H9
A412,40,H9
A413,40,H9
A414,40,H9
A415,40,H9
A416,40,H9
A417,40,H9
A418,40,H9
A419,40,H9
A420,40,H9
A421,40,H9
A422,40,H9
A423,40,H9
A424,40,H9
A425,40,H9
A426,40,H9
A427,40,H9
A428,40,H9
A429,40,H9
A430,40,H9
A431,40,H9
A432,40,H9
A433,40,H9
A434,40,H9
A435,40,H9
A436,40,H9
A437,40,H9
A438,40,H9
A439,40,H9
A440,40,H9
A441,40,H9
A442,40,H9
A443,40,H9
A444,40,H9
A445,40,H9
