Cell line,Day,Stiffness,FOV,mask_label,redox_ratio_norm_mean,nadh_intensity_mean,nadh_intensity_stdev,nadh_a1_mean,nadh_a1_stdev,nadh_a1_intensity_weighted_mean,nadh_a1_intensity_weighted_stdev,nadh_a2_mean,nadh_a2_stdev,nadh_a2_intensity_weighted_mean,nadh_a2_intensity_weighted_stdev,nadh_t1_mean,nadh_t1_stdev,nadh_t1_intensity_weighted_mean,nadh_t1_intensity_weighted_stdev,nadh_t2_mean,nadh_t2_stdev,nadh_t2_intensity_weighted_mean,nadh_t2_intensity_weighted_stdev,nadh_tau_mean_mean,nadh_tau_mean_stdev,nadh_tau_mean_intensity_weighted_mean,nadh_tau_mean_intensity_weighted_stdev,fad_intensity_mean,fad_intensity_stdev,fad_a1_mean,fad_a1_stdev,fad_a1_intensity_weighted_mean,fad_a1_intensity_weighted_stdev,fad_a2_mean,fad_a2_stdev,fad_a2_intensity_weighted_mean,fad_a2_intensity_weighted_stdev,fad_t1_mean,fad_t1_stdev,fad_t1_intensity_weighted_mean,fad_t1_intensity_weighted_stdev,fad_t2_mean,fad_t2_stdev,fad_t2_intensity_weighted_mean,fad_t2_intensity_weighted_stdev,fad_tau_mean_mean,fad_tau_mean_stdev,fad_tau_mean_intensity_weighted_mean,fad_tau_mean_intensity_weighted_stdev,redox_ratio_mean,redox_ratio_stdev,,redox_ratio_norm_stdev,flirr_mean,flirr_stdev
H9,30,1.5kpa,10,1,0.499628168,399.4698925,230.0161043,74.04935258,4.244770027,73.97285585,3.678722329,25.95064742,4.244770027,26.02714415,3.678722329,349.8831022,89.24688197,348.0903747,74.40843703,2163.332086,318.3769931,2145.65905,277.7215679,813.0170334,100.4175743,809.9513514,83.84943395,369.3290323,177.011868,78.24057892,3.401265368,77.74200417,3.162517931,21.75942108,3.401265368,22.25799583,3.162517931,162.4314586,56.15100898,170.0891105,55.43717434,2047.31172,193.8684984,2037.973362,184.2387783,571.4267707,112.3568142,584.8031129,106.0342126,1.17804175,0.651532382,,0.144242013,0.33267676,0.058076011
H9,30,1.5kpa,10,2,0.531646521,470.6792069,320.3994858,72.72879171,5.014571655,72.92770616,4.119267511,27.27120829,5.014571655,27.07229384,4.119267511,396.0425389,141.3509297,374.3335315,97.858503,2178.657046,391.0840196,2119.600665,281.5600515,872.7388647,142.5376639,841.0780456,102.3878016,361.4453482,187.220395,77.17740956,3.976884395,76.44404917,3.68755692,22.82259044,3.976884395,23.55595083,3.68755692,162.0955811,72.43804517,169.6206822,65.34682175,2131.900813,208.8727605,2118.375603,202.1217411,610.2638797,133.7543981,627.4382121,123.5789107,1.328301532,0.694381321,,0.136698627,0.354480385,0.067633877
H9,30,1.5kpa,10,3,0.503286101,418.421084,353.6719139,72.66703297,5.212612343,72.83172377,4.341777597,27.33296703,5.212612343,27.16827623,4.341777597,389.4565986,139.2102387,373.8451384,95.30470226,2212.700831,377.1849077,2198.490451,284.5156975,879.0466203,141.7388367,863.6742223,103.2963463,350.049732,213.1764451,78.95111343,4.338390318,77.84277837,3.999841512,21.04888653,4.338390419,22.15722161,3.999841577,155.9629927,63.46609785,170.7150859,60.23539229,2092.331245,205.3234871,2080.823593,197.0064961,561.4759617,134.5223041,591.8701312,125.0094873,1.208059096,0.700939746,,0.146640683,0.347561285,0.069794031
H9,30,1.5kpa,10,5,0.495903645,461.8837527,404.4522492,74.07990041,4.803630484,74.55235455,3.845875005,25.92009959,4.803630484,25.44764545,3.845875005,381.1864464,142.3269001,371.8681671,91.39419253,2176.999888,389.7653152,2139.478072,271.2893036,838.2382266,156.8799379,816.7928427,106.4628193,382.6898249,220.1663996,76.86319245,3.840944375,76.01008337,3.427279734,23.13680757,3.840944316,23.98991663,3.427279708,176.9666033,61.20262856,186.5082505,54.48932926,2075.830692,200.4101883,2054.670892,180.4846681,613.6509869,116.7996261,632.618425,102.8785459,1.318473172,1.06831766,,0.175537918,0.338096506,0.064095303
H9,30,1.5kpa,10,6,0.508218496,383.7740642,300.3693355,74.31057741,4.650042914,74.71662851,3.97631506,25.68942261,4.650042863,25.2833715,3.976315016,376.6105909,111.2968326,370.7266821,83.43038984,2155.415622,366.4999876,2133.024046,301.2554953,824.1781803,119.2525997,809.4843837,91.41073728,320.0795455,139.7137628,78.91082447,4.844998457,78.14582637,4.523443148,21.08917557,4.844998384,21.85417365,4.523443118,146.376181,69.92435598,153.410612,64.03118095,2073.930421,211.3449964,2049.944294,197.476442,550.4474919,145.2953071,565.7429564,134.8888137,1.221181088,0.696681958,,0.140198709,0.326834244,0.062634885
H9,30,1.5kpa,10,9,0.540171121,546.9252669,398.0120951,73.49392123,4.600700388,74.31137152,3.790081412,26.50607877,4.600700388,25.68862848,3.790081412,377.433047,124.9180071,364.5868573,80.62592323,2129.036928,333.3722661,2093.040789,238.116616,835.9444583,137.0328387,805.1884926,95.41219963,393.8196916,186.4368745,77.26360517,4.460396358,76.32142182,3.987176566,22.73639482,4.460396371,23.67857818,3.987176564,160.0315874,62.19191703,171.2420677,57.09476918,2098.852593,186.8966701,2083.496909,179.5498311,598.2518902,133.03912,621.8583292,120.0517507,1.41011787,0.789127,,0.144989264,0.344274663,0.062406343
H9,30,1.5kpa,10,10,0.358977391,235.4647183,277.7691318,75.54625271,5.77929371,75.21117173,4.738780064,24.45374728,5.779293731,24.78882827,4.738780072,434.3638678,218.7767003,387.0864499,147.8993601,2300.077251,558.1037526,2146.159776,405.3129215,876.8379471,232.4561941,814.4538717,159.9763301,332.128752,190.4380984,79.64414955,4.403081811,78.27540103,4.065885629,20.35585047,4.40308172,21.72459903,4.065885394,153.296859,74.01242548,166.7920271,66.40780474,2012.880964,202.7281567,2003.872999,185.2023718,528.8560232,134.9363719,563.3579167,122.9763603,0.721595463,0.702424885,,0.160263059,0.308150828,0.074246102
H9,30,1.5kpa,10,11,0.542423224,552.0753604,324.3915888,73.5050267,3.79014944,74.01676135,3.377162968,26.4949733,3.79014944,25.98323865,3.377162968,349.8271635,88.33723899,347.5799248,68.27921443,2097.281696,257.6578084,2094.333996,215.8148879,808.2058665,99.71241606,797.9162248,82.16863102,441.7155963,261.2945141,76.76887015,3.911235234,76.08469557,3.437145737,23.23112988,3.91123508,23.91530446,3.437145577,159.4946672,57.96802168,171.2846427,52.72871293,2117.063901,181.0644665,2098.965149,169.6843971,612.3796737,118.7129213,630.7482405,105.0451573,1.371302083,0.689307659,,0.129617727,0.345906447,0.051142993
H9,30,1.5kpa,10,14,0.464924007,457.5525494,425.2658856,73.91396368,5.061170835,74.62972234,4.096741023,26.08603632,5.061170835,25.37027766,4.096741023,375.0470041,148.3640398,361.8303766,99.33887417,2165.144438,397.7760999,2123.572208,273.8628353,833.1057101,156.5084659,803.8514472,111.7973562,438.1248699,287.0826746,77.39764865,3.86274573,76.31690271,3.311409558,22.60235133,3.862745817,23.68309728,3.311409602,174.0186878,57.92157235,188.1557216,49.73636765,2059.536961,192.3906777,2034.771186,166.0105699,596.9529038,111.710263,623.2143872,93.82598507,1.098031013,0.795966203,,0.163444637,0.337758827,0.066230987
H9,30,1.5kpa,10,16,0.498516598,491.9698525,309.860791,72.80007453,4.363354535,72.90597649,3.604122968,27.19992547,4.363354535,27.09402351,3.604122968,371.6179799,116.1323881,361.0991147,81.5433239,2149.008319,334.4978421,2119.107324,252.4337044,847.8711933,119.7346631,832.903612,91.41987532,456.7819115,241.5751813,76.60914971,3.632923683,75.79096571,3.007567427,23.39085027,3.63292374,24.20903428,3.00756746,186.0043837,58.66826133,196.6865979,50.44991169,2025.461148,167.5035606,2011.935448,152.360686,613.9198417,107.1476882,634.3347155,89.81800528,1.207194426,0.747032894,,0.151853122,0.355844358,0.059076332
